ric,data_load,capitalization,current_price,ticker
A.N,2026-03-24,31.657112,112.02,A.N
AA.N,2026-03-24,14.797414,56.08,AA.N
AACAY.PK,2026-03-24,5.177819,4.22,AACAY.PK
AAGIY.PK,2026-03-24,114.160059,41.75,AAGIY.PK
AAIGF.PK,2026-03-24,114.160059,10.22,AAIGF.PK
AAKAY.PK,2026-03-24,6.179584,0.0,AAKAY.PK
AAL.O,2026-03-24,7.137892,10.81,AAL.O
AAMI.K,2026-03-24,1.862217,52.13,AAMI.K
AAMI.N,2026-03-24,1.862217,52.13,AAMI.N
AAOI.O,2026-03-24,7.201039,95.76,AAOI.O
AAON.O,2026-03-24,6.543623,80.29,AAON.O
AAP.N,2026-03-24,3.045529,50.74,AAP.N
AAPG.O,2026-03-24,2.108406,22.32,AAPG.O
AAPL.O,2026-03-24,3697.582777,251.49,AAPL.O
AARTY.PK,2026-03-24,17.353465,48.8,AARTY.PK
AAT.N,2026-03-24,1.149852,18.73,AAT.N
AAUC.K,2026-03-24,3.893456,31.05,AAUC.K
AAVMY.PK,2026-03-24,19.15547,31.53,AAVMY.PK
AAVVF.PK,2026-03-24,1.403551,8.41,AAVVF.PK
AB.N,2026-03-24,3.450512,37.39,AB.N
ABBNY.PK,2026-03-24,151.93054,83.51,ABBNY.PK
ABBRF.PK,2026-03-24,1.277427,7.99,ABBRF.PK
ABBV.K,2026-03-24,362.350876,204.93,ABBV.K
ABBV.N,2026-03-24,362.350876,204.93,ABBV.N
ABCB.N,2026-03-24,5.142611,75.76,ABCB.N
ABCB.O,2026-03-24,5.142611,75.76,ABCB.O
ABCL.O,2026-03-24,1.021651,3.37,ABCL.O
ABDBY.PK,2026-03-24,3.519369,5.0,ABDBY.PK
ABEV.K,2026-03-24,44.154636,2.8,ABEV.K
ABEV.N,2026-03-24,44.154636,2.8,ABEV.N
ABG.N,2026-03-24,3.691743,191.7,ABG.N
ABLZF.PK,2026-03-24,151.93054,84.0,ABLZF.PK
ABM.N,2026-03-24,2.23771,38.23,ABM.N
ABNB.O,2026-03-24,80.709384,132.59,ABNB.O
ABR.N,2026-03-24,1.463814,7.58,ABR.N
ABR_pd.N,2026-03-24,1.463814,17.31,ABR_pd.N
ABR_pe.N,2026-03-24,1.463814,16.95,ABR_pe.N
ABR_pf.N,2026-03-24,1.463814,22.1,ABR_pf.N
ABT.N,2026-03-24,182.19521,104.85,ABT.N
ABTC.O,2026-03-24,0.895139,0.96,ABTC.O
ABTZY.PK,2026-03-24,2.716011,5.07,ABTZY.PK
ABVX.O,2026-03-24,9.269633,115.42,ABVX.O
ABX.N,2026-03-24,0.875637,9.07,ABX.N
ABXL.N,2026-03-24,0.875637,25.01,ABXL.N
ABXXF.PK,2026-03-24,0.996064,27.19,ABXXF.PK
ABZPY.PK,2026-03-24,5.202631,12.95,ABZPY.PK
ACA.N,2026-03-24,5.11333,104.26,ACA.N
ACAD.O,2026-03-24,3.578682,20.99,ACAD.O
ACCYY.PK,2026-03-24,10.935628,9.33,ACCYY.PK
