Instrument,CF_LAST,TRDPRC_1,Price Close
AAKAY.PK,,,
ACMMY.PK,,,
ADDLY.PK,,,
AEBMY.PK,,,
AELKY.PK,,,
AFNDY.PK,,,
AGGNY.PK,,,
AJINY.PK,,,
AKBDY.PK,,,
ALCTY.PK,,,
ALKRY.PK,,,
ALSYY.PK,,,
AMBUY.PK,,,
ANJFY.PK,,,
ASGSY.PK,,,
ASKRY.PK,,,
ATGSY.PK,,,
ATHNY.PK,,,
ATWNY.PK,,,
AZSAY.PK,,,
AZUXY.PK,,,
AZZRY.PK,,,
BBAAY.PK,,,
BDMXY.PK,,,
BIREY.PK,,,
BITW.K,46.48,,46.48
BKHPY.PK,,,
BKPOY.PK,,,
BMUSY.PK,,,
BMXVY.PK,,,
BNCPY.PK,,,
BNPZY.PK,,,
BQMCY.PK,,,
BQMGY.PK,,,
BSMLP.PK,,,
BTGUY.PK,,,
BXCAP.PK,,,
BXRLY.PK,,,
CBQRL.PK,,,
CDULY.PK,,,
CFDZY.PK,,,
CHBBY.PK,,,
CHPCY.PK,,,
CHRNY.PK,,,
CHSFY.PK,,,
CISEY.PK,,,
CLCHY.PK,,,
CLEGY.PK,,,
CLRLY.PK,,,
CMGJY.PK,,,
CMPBY.PK,,,
CMPRY.PK,,,
CNMMY.PK,,,
CODLY.PK,,,
CPFEY.PK,,,
CPLFY.PK,,,
CPWIY.PK,,,
CPXXY.PK,,,
CRAUY.PK,,,
CSCCY.PK,,,
CTGCY.PK,,,
CVGYY.PK,,,
CYPRY.PK,,,
CYRAY.PK,,,
DCIIY.PK,,,
DGGRY.PK,,,
DKKHY.PK,,,
DLELY.PK,,,
DNCLY.PK,,,
DNFGF.PK,,,
DNIFY.PK,,,
DNKAY.PK,,,
DPDSY.PK,,,
DSRNY.PK,,,
DXPPY.PK,,,
DYBTY.PK,,,
EDVLY.PK,,,
ELFTY.PK,,,
EMSCY.PK,,,
ENOGY.PK,,,
EPDU.PK,,,
ERBKY.PK,,,
ERGSY.PK,,,
ERPSY.PK,,,
EVGPY.PK,,,
EVVVY.PK,,,
EXSNY.PK,,,
FDBAY.PK,,,
FFHOY.PK,,,
FGHRY.PK,,,
FGRS.PK,,,
FHFFY.PK,,,
FJSIY.PK,,,
FLRYY.PK,,,
FNIGY.PK,,,
FRTRY.PK,,,
FSTGY.PK,,,
FTWYY.PK,,,
FUPEY.PK,,,
FVGPY.PK,,,
FWDYY.PK,,,
GAILY.PK,,,
GBNXY.PK,,,
GFCHY.PK,,,
GGRPY.PK,,,
GGTKY.PK,,,
GIGDY.PK,,,
GJJSY.PK,,,
GLLNY.PK,,,
GLTIL.PK,,,
GLVPY.PK,,,
GRCPY.PK,,,
GROUY.PK,,,
GTLRY.PK,,,
GUOCY.PK,,,
HALYY.PK,,,
HDWEY.PK,,,
HHKIY.PK,,,
HKHUY.PK,,,
HLBAY.PK,,,
HLBBY.PK,,,
HLPTY.PK,,,
HNHAY.PK,,,
HNKLY.PK,,,
HNNKY.PK,,,
HNPHY.PK,,,
HOSZY.PK,,,
HRBAY.PK,,,
HRSPY.PK,,,
HSSKY.PK,,,
HYNLY.PK,,,
HZRBY.PK,,,
IGTAY.PK,,,
INGKY.PK,,,
INRNY.PK,,,
IPGYY.PK,,,
IPSAY.PK,,,
ISADY.PK,,,
ITCTY.PK,,,
ITFCY.PK,,,
JDLGY.PK,,,
JEOLY.PK,,,
JGLMY.PK,,,
JNGDY.PK,,,
JNNLY.PK,,,
JPNPY.PK,,,
JTGEY.PK,,,
KEYRY.PK,,,
KGFTY.PK,,,
KKMMY.PK,,,
KKSIY.PK,,,
KLCCY.PK,,,
KLGSY.PK,,,
KMRSF.PK,,,
KNWAY.PK,,,
KYTFY.PK,,,
LBKCY.PK,,,
LDBTY.PK,,,
LGEIY.PK,,,
LNZNY.PK,,,
LRVIY.PK,,,
LSHGY.PK,,,
LTORY.PK,,,
LUCKY.PK,,,
LUKFY.PK,,,
MAHDY.PK,,,
MBPFY.PK,,,
MDDTY.PK,,,
MDKGY.PK,,,
MEIUY.PK,,,
METRY.PK,,,
MFGHY.PK,,,
MGMOL.PK,,,
MIMTY.PK,,,
MLXSY.PK,,,
MMXGY.PK,,,
MNZLY.PK,,,
MPLFY.PK,,,
MREGY.PK,,,
MROSY.PK,,,
MSTKY.PK,,,
MTMTY.PK,,,
MWFEX.O,,,
MYCRY.PK,,,
NBKAY.PK,,,
NBKBY.PK,,,
NETGY.PK,,,
NGCOY.PK,,,
NGD.N,,,
NHKSY.PK,,,
NOFFY.PK,,,
NOGFY.PK,,,
NPIXY.PK,,,
NPPEY.PK,,,
NSNFY.PK,,,
NWCYY.PK,,,
OBBCY.PK,,,
OBOCY.PK,,,
OBYSY.PK,,,
ODKUY.PK,,,
ODVCI.PK,,,
OTPIY.PK,,,
OVICY.PK,,,
PAAPU.PK,,,
PASTY.PK,,,
PBDBY.PK,,,
PBRRY.PK,,,
PCTBP.PK,,,
PDYTY.PK,,,
PEGHY.PK,,,
PFSTY.PK,,,
PHRBY.PK,,,
PLSAY.PK,,,
PRBRY.PK,,,
PRDIY.PK,,,
PRLLY.PK,,,
PRMRY.PK,,,
PRNSY.PK,,,
PRSKY.PK,,,
PSBTY.PK,,,
PTAXY.PK,,,
PTCCY.PK,,,
QUCPY.PK,,,
RCWBY.PK,,,
RECCY.PK,,,
REGMY.PK,,,
RENGY.PK,,,
RGKJY.PK,,,
RGNLY.PK,,,
RLTQY.PK,,,
ROYUY.PK,,,
RSGPY.PK,,,
RUMBW.O,1.16,,
RUSMY.PK,,,
SAAYY.PK,,,
SAGXY.PK,,,
SAPUY.PK,,,
SBKJY.PK,,,
SCBXY.PK,,,
SCRNY.PK,,,
SCSXY.PK,,,
SCTAY.PK,,,
SECYY.PK,,,
SFSHY.PK,,,
SFTCY.PK,,,
SGIHY.PK,,,
SGMMY.PK,,,
SGPIY.PK,,,
SHILY.PK,,,
SHOUY.PK,,,
SHPHY.PK,,,
SICCY.PK,,,
SKNGY.PK,,,
SMFSY.PK,,,
SMPHY.PK,,,
SNCHQ.PK,,,
SNEVY.PK,,,
SNPRY.PK,,,
SPASY.PK,,,
SPRRY.PK,,,
SSHBY.PK,,,
SSPGY.PK,,,
SSRLY.PK,,,
STCAY.PK,,,
STJNY.PK,,,
SVICY.PK,,,
SVJTL.PK,,,
SVLLY.PK,,,
SWBKY.PK,,,
SWCXY.PK,,,
SWPLY.PK,,,
SWPMY.PK,,,
SYXTY.PK,,,
TCLXY.PK,,,
TCYBY.PK,,,
TEICY.PK,,,
TGIOY.PK,,,
TGNA.K,,,
TGNA.N,,,
THCLY.PK,,,
TKCYY.PK,,,
TMHTY.PK,,,
TMKVY.PK,,,
TPZEY.PK,,,
TRCSY.PK,,,
TRPCY.PK,,,
TSHXY.PK,,,
TYABY.PK,,,
TYTMY.PK,,,
UATCY.PK,,,
UCLQY.PK,,,
UDBKL.PK,,,
UHBTY.PK,,,
USNMY.PK,,,
VBACY.PK,,,
VRSUY.PK,,,
VSGRY.PK,,,
VVCTY.PK,,,
WPKCY.PK,,,
XERYY.PK,,,
YAGZZ.PK,,,
YGSHY.PK,,,
ZGJLY.PK,,,
ZHAOY.PK,,,
ZJGIY.PK,,,
ZSHLY.PK,,,
ZSICY.PK,,,
