ric,data_load,status,capitalization,avg_volume,price
AMFPY.PK,2026-03-18,new,2.1,,36.67
AMKAF.PK,2026-03-18,new,39.1,0.0,2755.66
APAJF.PK,2026-03-18,new,8.5,0.0,6.68
AVVSY.PK,2026-03-18,new,2.1,0.02,11.1
BABWF.PK,2026-03-18,new,21.9,0.03,5.0
BKRIF.PK,2026-03-18,new,17.2,0.0,18.18
BNDSY.PK,2026-03-18,new,17.7,0.0,7.02
BPOPO.PK,2026-03-18,new,8.4,0.0,25.1
BVHMY.PK,2026-03-18,new,1.6,,5.12
BZQIY.PK,2026-03-18,new,7.6,0.0,13.85
CARCY.PK,2026-03-18,new,1.5,,6.05
CDEVY.PK,2026-03-18,new,6.3,0.0,6.77
CDGLY.PK,2026-03-18,new,2.5,0.0,22.69
CDPYF.PK,2026-03-18,new,4.1,0.02,26.35
CRDIY.PK,2026-03-18,new,9.9,0.01,25.28
DTNOF.PK,2026-03-18,new,1.7,0.01,2.0
EDRWY.PK,2026-03-18,new,4.6,,25.2
ELALF.PK,2026-03-18,new,2.5,0.01,4.2
ERNXY.PK,2026-03-18,new,16.6,0.0,32.68
EXPGF.PK,2026-03-18,new,33.4,0.0,37.39
FJTNY.PK,2026-03-18,new,4.1,,11.85
FOSUY.PK,2026-03-18,new,4.0,0.0,12.46
GBLBY.PK,2026-03-18,new,12.1,0.0,8.84
GPMXY.PK,2026-03-18,new,81.1,0.0,21.03
HMKIY.PK,2026-03-18,new,3.6,,8.35
JEXYY.PK,2026-03-18,new,8.4,,25.7
JHPCY.PK,2026-03-18,new,52.0,,16.72
JTKWY.PK,2026-03-18,new,4.9,0.0,4.25
JVCZY.PK,2026-03-18,new,1.2,-1.0,29.5
KGTHY.PK,2026-03-18,new,2.4,0.0,9.14
KIKOY.PK,2026-03-18,new,8.1,0.0,18.35
KNCRY.PK,2026-03-18,new,8.3,0.0,21.1
KPELF.PK,2026-03-18,new,17.5,0.0,9.65
MAAS.O,2026-03-18,new,2.0,0.0,5.71
MALRY.PK,2026-03-18,new,7.1,0.0,37.01
MAURY.PK,2026-03-18,new,3.5,0.0,38.04
MGAWY.PK,2026-03-18,new,1.2,0.0,7.25
MIESY.PK,2026-03-18,new,4.3,,42.05
NSHBY.PK,2026-03-18,new,1.6,,19.3
OCDGF.PK,2026-03-18,new,2.3,0.0,2.61
OKIEY.PK,2026-03-18,new,1.5,,17.15
PAFRY.PK,2026-03-18,new,3.8,0.0,37.3
PGPHF.PK,2026-03-18,new,27.6,0.0,1070.0
PMDIY.PK,2026-03-18,new,9.0,0.0,18.52
PRK.N,2026-03-18,new,2.9,0.0,152.96
PUMSY.PK,2026-03-18,new,3.6,0.02,2.42
