ric,current_price,capitalization
A.N,134.04,37.857178
AA.N,48.72,12.856818
AACAY.PK,4.82,5.637784
AADX.N,18.72,3.196319
AAGIY.PK,36.99,95.578576
AAIGF.PK,8.93,95.578576
AAKAY.PK,0.0,6.544414
AAL.O,16.31,10.787192
AAMI.K,78.81,2.807921
AAMI.N,78.81,2.807921
AAOI.O,111.88,8.977561
AAON.O,112.19,9.189675
AAP.N,55.31,3.335193
AAPG.O,19.6,1.781629
AAPL.O,317.31,4660.444932
AARTY.PK,45.37,16.399886
AAT.N,25.14,1.543368
AAUC.K,22.46,2.850524
AAVMY.PK,43.15,28.440679
AAVVF.PK,7.55,1.265853
AB.N,37.35,3.488634
ABBNY.PK,101.61,187.643418
ABBRF.PK,10.4,1.672987
ABBV.K,248.0,438.16462
ABBV.N,248.0,438.16462
ABCB.N,89.82,6.044213
ABCB.O,89.82,6.044213
ABCL.O,6.52,1.991048
ABDBY.PK,5.0,3.54876
ABEV.K,3.06,48.843942
ABEV.N,3.06,48.843942
ABG.N,210.73,3.92354
ABLZF.PK,104.71,187.643418
ABM.N,45.36,2.657231
ABNB.O,146.33,86.847575
ABR.N,4.91,0.944494
ABR_pd.N,16.14,0.944494
ABR_pe.N,16.09,0.944494
ABR_pf.N,22.96,0.944494
ABT.N,92.11,160.438343
ABTC.O,5.28,0.384852
ABTZY.PK,4.59,2.96063
ABVX.O,135.98,11.947176
ABX.N,11.0,1.055146
ABXL.N,25.61,1.055146
ABXXF.PK,18.23,0.708456
ABZPY.PK,11.77,4.825924
ACA.N,144.92,7.103745
ACAD.O,25.5,4.366515
ACCYY.PK,10.88,12.943813
ACEL.N,12.72,1.035318
ACGBF.PK,0.64,321.817354
ACGBY.PK,17.6,321.817354
ACGL.O,103.06,36.008091
ACGLO.O,19.08,36.008091
ACHC.O,30.56,2.810512
ACHR.K,4.55,3.456171
ACHR.N,4.55,3.456171
ACI.N,14.79,7.243823
ACIW.O,56.43,5.736762
ACKAY.PK,10.72,1.40289
ACLLF.PK,53.46,5.371415
ACLLY.PK,94.34,8.9406
ACLS.O,136.56,4.197021
ACLX.O,115.07,6.729272
ACM.N,68.68,8.826954
ACMMY.PK,0.0,4.668159
ACMR.O,94.08,6.501821
ACN.N,138.52,84.766221
ACOPY.PK,5.02,3.571964
ACSAY.PK,26.78,38.115385
ACT.O,45.44,6.343458
ACVA.K,6.81,1.188923
ACVA.N,6.81,1.188923
AD.N,34.02,2.939328
ADBE.O,230.61,91.667475
ADC.N,78.62,9.442487
ADDDF.PK,204.45,37.717847
ADDHY.PK,17.73,8.973683
ADDLY.PK,0.0,1.95167
ADDYY.PK,104.04,37.717847
ADEA.O,27.68,3.052931
ADI.O,386.01,188.020468
ADM.N,82.04,39.539713
ADMA.O,8.97,2.079001
ADNT.K,19.2,1.505537
ADNT.N,19.2,1.505537
ADOOY.PK,6.45,3.898409
ADP.O,251.05,100.353291
ADPT.O,21.02,3.364133
ADRNY.PK,40.51,35.82225
ADRZY.PK,16.8,8.5817
ADSK.O,212.22,44.77842
ADT.N,6.78,4.971417
ADUS.O,108.86,2.031848
ADX.N,25.96,3.18072
ADYEY.PK,9.44,30.508696
AEBI.O,11.89,0.921548
AEBMY.PK,0.0,2.531684
AEBZY.PK,0.37,2.531684
AEE.N,113.43,31.391936
AEG.N,8.75,13.821063
AEIS.O,298.52,11.352912
AELIY.PK,8.22,0.892272
AELKY.PK,0.0,34.227163
AEM.N,143.51,71.820368
