№,Назвaние,Тикер,isin,RIC,Нaзвание,"Капитал, млрд $",Биржа,№ ,Сектор,№  ,Отрасль,"Объем, млн. шт","Цена, $",  ,MAX,MIN,CP,MAX ,MIN ,CP , MAX , MIN , CP , MAX  , MIN  , CP  ,  MAX  ,  MIN  ,  CP  ,  MAX   ,  MIN   ,  CP   ,   MAX   ,   MIN   ,   CP   , ,Описание,Рост/Спад
4,US,ASMLF,NL0010273215,ASMLF.PK,ASML Holding NV,533.063903,PNK,1,Технология,1,Полупроводниковое оборудование и тестирование,0.0,1404.82,,1533.96,1250.0,1413.23,1139.29,683.9,915.0,1139.29,585.54,820.78,1139.29,585.54,842.98,1139.29,543.25,782.5,1139.29,355.8,721.93,1139.29,80.1,540.18,,"ASML Holding N.V. — холдинговая компания, базирующаяся в Нидерландах. Компания осуществляет свою деятельность через свои дочерние компании в Нидерландах, США, Италии, Франции, Германии, Великобритании, Ирландии, Бельгии, Южной Корее, Тайване, Сингапуре, Китае, Гонконге, Японии, Малайзии и Израиле. Компания работает через один бизнес-сегмент, который занимается разработкой, производством, маркетингом, продажей, модернизацией и обслуживанием передовых систем полупроводникового оборудования, включая системы литографии, метрологии и контроля. Компания предлагает системы TWINSCAN, оснащенные литографической системой с ртутной лампой в качестве источника света (i-line), источниками света из фторида криптона (KrF) и фторида аргона (ArF) для обработки пластин для производственных сред, для которых требуется получение изображений с небольшим разрешением. К системам TWINSCAN также относятся системы иммерсионной литографии (иммерсионные системы TWINSCAN).",
15,US,TOELF,JP3571400005,TOELF.PK,Tokyo Electron Ltd,133.573064,PNK,2,Технология,2,Полупроводниковое оборудование и тестирование,0.0,270.81,,305.53,224.66,266.55,233.0,130.17,183.61,233.0,112.54,169.5,275.6,112.54,183.29,275.6,96.3,167.15,275.6,78.7,155.65,275.6,21.34,136.75,,"Tokyo Electron Ltd — японская компания, которая в основном занимается производством и продажей продукции промышленной электроники, в первую очередь оборудования для производства полупроводников и оборудования для производства плоских дисплеев (FPD). Сегмент «Оборудование для производства полупроводников» предлагает совместимое с пластинами оборудование для термической обработки периодического типа, совместимое с пластинами оборудование для полупериодического осаждения, совместимое с пластинами оборудование для осаждения одиночных пластин, устройства для нанесения покрытий/проявители, совместимые с пластинами, совместимые с пластинами системы плазменного травления и системы тестирования полупроводников. Компания также предоставляет услуги логистики, управления объектами и страхования.",
56,US,ROHCY,US7753761060,ROHCY.PK,Rohm Co Ltd,8.689628,PNK,3,Технология,1,Полупроводники,0.0,21.3,,24.01,0.0,15.85,16.4,12.5,14.06,16.4,7.49,11.84,19.01,7.49,12.68,25.04,7.49,15.25,29.14,7.49,17.29,29.34,7.49,17.24,,"Rohm Co Ltd — японская компания, занимающаяся производством и продажей электронных компонентов. Компания работает в трех бизнес-сегментах. Сегмент крупномасштабной интеграции (LSI) производит LSI, включая аналоговые, логические и память. Сегмент полупроводниковых устройств производит транзисторы, диоды, силовые устройства, светодиоды и полупроводниковые лазеры. Сегмент «Модуль» производит печатающие головки и оптические модули. Компания также занимается резисторным бизнесом.",
63,US,SUOPY,US86558P1093,SUOPY.PK,Sumco Corp,5.156418,PNK,4,Технология,2,Полупроводники,0.0,29.0,,29.54,0.0,22.27,24.14,14.55,18.66,24.14,10.29,16.06,34.84,10.29,21.74,34.84,10.29,23.76,52.09,10.29,27.16,57.91,10.29,28.24,,"Sumco Corp — японская компания, занимающаяся в основном производством и продажей кремния высокой чистоты. Компания управляет бизнесом по производству кремния высокой чистоты, который в основном занимается производством и продажей кремниевых пластин производителям полупроводников. Полупроводниковые кремниевые пластины используются в качестве материалов подложки производителями полупроводников при производстве различных полупроводников, таких как память и логика. Компания производит полированные пластины различного диаметра и эпитаксиальные пластины с последующей специальной обработкой их поверхности. Компания работает в Японии, США, Тайване, Сингапуре, Южной Корее, Великобритании и других регионах.",
69,US,NDCVF,NO0003055501,NDCVF.PK,Nordic Semiconductor ASA,4.049438,PNK,5,Технология,3,Полупроводники,0.0,19.6,,20.56,0.0,11.99,16.85,12.25,14.45,16.85,9.0,13.46,16.85,7.18,11.86,17.9,7.18,11.96,37.0,7.18,17.45,37.0,2.79,12.23,,"Nordic Semiconductor ASA — норвежская компания по производству полупроводников, специализирующаяся на технологиях беспроводной связи, лежащих в основе Интернета вещей (IoT). Компания занимается разработкой решений для беспроводной связи ближнего радиуса действия. Nordic Semiconductor ASA имеет один операционный сегмент. Диапазон технологий включает Bluetooth Low Energy, передовые и адаптивные сетевые технологии (ANT+), Thread и Zigbee. Решения Nordic Semiconductor ASA используются в различных продуктах, включая беспроводные периферийные устройства для персональных компьютеров (ПК), игры, аксессуары для мобильных телефонов, бытовую электронику, здравоохранение и автоматизацию. Компания имеет офисы по всему миру, а также несколько дочерних компаний, таких как Nordic SemiconductorНорвегия AS, Nordic Semiconductor UK Ltd, Nordic Semiconductor Inc и Nordic SemiconductorPoland Sp Zoo.",
71,US,AIIXY,US0096062031,AIIXY.PK,Aixtron SE,5.713331,PNK,6,Технология,3,Полупроводниковое оборудование и тестирование,0.0,102.38,,110.5,0.0,52.71,44.64,28.52,35.86,44.64,21.45,32.45,79.25,21.45,38.74,79.92,21.45,44.68,79.92,21.45,45.71,79.92,21.45,45.71,,"AIXTRON SE — компания со штаб-квартирой в Германии. Компания является поставщиком оборудования для осаждения полупроводниковой промышленности. Компания разрабатывает, производит и устанавливает оборудование для осаждения сложных полупроводниковых материалов, а также предлагает процессы осаждения, консультации, обучение, поддержку клиентов и сервис для этих систем. Он также предоставляет периферийные устройства и услуги для работы своих систем. Компания также поставляет оборудование для нанесения покрытий для серийного производства, а также для исследований и разработок (НИОКР) и предсерийного производства.",
113,US,PROSF,NL0013654783,PROSF.PK,Prosus NV,108.345511,PNK,7,Технология,1,Онлайн-сервисы,0.0,46.25,,52.9,0.0,13.42,72.77,54.78,62.89,72.77,33.9,52.24,72.77,27.55,42.67,72.77,26.75,39.69,72.77,19.04,37.77,72.77,19.04,37.98,,"Prosus NV, ранее называвшаяся Myriad International Holdings NV, — это глобальная потребительская Интернет-группа со штаб-квартирой в Нидерландах. Компания разделена на шесть бизнес-направлений: объявления, платежи и финансовые технологии, доставка еды, розничная торговля, венчурный бизнес и путешествия. Он также имеет инвестиции в зарегистрированные социальные и интернет-активы. Подразделение «Объявления» управляет мобильными и цифровыми торговыми площадками. В бизнес-направление «Платежи и финансовые технологии» входит PayU, платформа платежных услуг. Бизнес-направление «Доставка еды» управляет компаниями по доставке еды. Бизнес-направление Travel управляет туристической онлайн-платформой. Сфера бизнеса Etail включает в себя бизнес с компаниями электронной коммерции для потребителей. Сфера венчурного бизнеса ищет и инвестирует в компании на ранней стадии.",
124,US,NETTF,KYG6427A1022,NETTF.PK,NetEase Inc,70.76624,PNK,8,Технология,2,Онлайн-сервисы,0.0,19.91,,24.23,0.0,4.08,33.14,23.35,27.9,33.14,16.23,23.7,33.14,13.74,20.71,33.14,13.74,20.18,33.14,10.49,19.75,33.14,10.49,19.75,,"NetEase Inc — компания, занимающаяся в основном игровым бизнесом. Компания осуществляет свою деятельность в четырех сегментах. Сегмент «Игры и сопутствующие услуги с добавленной стоимостью» занимается разработкой и продажей мобильных игр, игровыми операциями и другими услугами с добавленной стоимостью, включая внутриигровые виртуальные предметы и предоплаченные кредиты. Сегмент Youdao предоставляет услуги обучения, интеллектуальные устройства и услуги онлайн-маркетинга. Продукты и услуги сегмента включают онлайн-курсы и услуги цифрового контента. Сегмент NetEase Cloud Music предоставляет музыкальные онлайн-сервисы, социальные развлекательные услуги и другие услуги посредством продажи членских подписок на различный контент и пакеты услуг, в первую очередь за счет продажи виртуальных предметов. Сегмент «Инновационный бизнес и другие» обеспечивает строгий отбор, рекламные услуги, электронную почту и другие дополнительные услуги.",
128,US,MPNGF,KYG596691041,MPNGF.PK,Meituan,63.275024,PNK,9,Технология,3,Онлайн-сервисы,0.0,10.05,,12.13,0.0,5.13,18.3,11.56,13.82,23.89,11.56,16.36,28.08,7.75,15.88,28.08,7.75,16.04,59.24,7.75,21.68,59.24,5.32,20.52,,"Meituan — инвестиционная холдинговая компания, которая в основном занимается высокотехнологичной розничной торговлей, предоставляя товары и услуги повседневного спроса с использованием технологий, включая доставку еды, в магазины, бронирование отелей и путешествий, а также другие услуги и продажи. Компания осуществляет свою деятельность через два сегмента. Основной сегмент местной коммерции включает доставку еды, Meituan Instashopping, магазины в магазинах, гостиничный и туристический бизнес. В сегмент «Новые инициативы» входят Meituan Select, супермаркет Xiaoxiang и другие. Компания реализует свою продукцию на внутреннем рынке.",
153,US,CNSWF,CA21037X1006,CNSWF.PK,Constellation Software Inc,37.711879,PNK,10,Технология,1,Программное обеспечение,0.0,1779.59,,1998.95,1640.0,1803.23,3936.74,2235.0,2923.91,3998.72,2235.0,3150.83,3998.72,2235.0,3044.77,3998.72,1531.54,2696.81,3998.72,1200.45,2240.81,3998.72,307.38,1483.68,,"Constellation Software Inc. — канадский поставщик программного обеспечения и услуг для нескольких отраслей. Компания приобретает, управляет и создает предприятия вертикального рынка программного обеспечения (VMS), которые предоставляют критически важные программные решения. В основном компания занимается разработкой, установкой и настройкой программного обеспечения, а также предоставлением сопутствующих профессиональных услуг и поддержкой клиентов по всему миру. Его профессиональные услуги включают установку, внедрение, обучение и настройку программного обеспечения и другие услуги. Компания продает локальные лицензии на программное обеспечение как на постоянной, так и на определенной основе. У него есть шесть операционных групп, которые обслуживают клиентов на более чем 100 различных рынках по всему миру. В шесть операционных групп входят Volaris, Harris, Topicus.com, Vela, Jonas и Perseus Group. У компании есть офисы в Северной Америке, континентальной Европе, Великобритании, Южной Америке, Африке и Австралии.",
